Elapsed_seconds	Tx-Mbps_[with_hdr]
244.50	8267.60
245.00	8267.48
245.50	8267.67
246.00	8267.60
246.50	8265.73
247.00	8267.53
247.50	8267.43
248.00	8267.26
248.50	8267.42
249.00	8267.46
249.50	8267.31
250.00	8266.80
250.50	8267.76
251.00	8268.35
251.50	8267.17
252.00	8267.89
252.50	8267.48
253.00	8267.65
253.50	8267.92
254.00	8266.90
254.50	8268.08
255.00	8267.76
255.50	8266.80
256.00	8267.91
256.50	8267.10
257.00	8267.47
257.50	8267.68
258.00	8267.10
258.50	8267.46
259.00	8267.33
259.50	8268.10
260.00	8267.91
260.50	8268.04
261.00	8268.06
261.50	8267.96
262.00	8267.29
262.50	8267.20
263.00	8267.68
263.50	8267.90
264.00	8268.11
264.50	8267.25
265.00	8267.35
265.50	9679.18
266.00	11552.47
266.50	11553.53
267.00	11554.42
267.50	11553.55
268.00	11553.88
268.50	11554.23
269.00	11553.36
269.50	11553.67
270.00	11553.80
270.50	11553.33
271.00	11553.23
271.50	11553.27
272.00	11554.07
272.50	11553.81
273.00	11553.47
273.50	11553.22
274.00	11553.38
274.50	11553.67
275.00	11553.66
275.50	11554.26
276.00	11552.73
276.50	11550.27
277.00	11554.89
277.50	11553.22
278.00	11553.43
278.50	11553.93
279.00	11553.77
279.50	11554.05
280.00	11553.52
280.50	11554.54
281.00	11552.85
281.50	11553.96
282.00	11553.69
282.50	11552.73
283.00	11553.39
283.50	11553.90
284.00	11555.48
284.50	11554.70
285.00	11554.14
285.50	11553.26
286.00	11553.92
286.50	11554.73
287.00	11553.56
287.50	11552.70
288.00	11553.17
288.50	11553.97
289.00	11551.43
289.50	11553.43
290.00	11552.42
290.50	11553.31
291.00	11554.67
291.50	11551.47
292.00	11553.33
292.50	11553.68
293.00	11552.70
293.50	11553.14
294.00	11553.46
294.50	11553.99
295.00	11553.99
295.50	11553.13
296.00	11554.38
296.50	11554.11
297.00	11554.06
297.50	11553.76
298.00	11553.18
298.50	11553.17
299.00	11554.09
299.50	11551.43
300.00	11554.58
300.50	11552.49
301.00	11553.21
301.50	11554.11
302.00	11552.68
302.50	11553.51
303.00	11553.56
303.50	11552.85
304.00	11553.92
304.50	11552.81
305.00	11553.68
305.50	11553.21
306.00	11553.57
306.50	11551.74
307.00	11554.00
307.50	11552.70
308.00	11553.32
308.50	11552.75
309.00	11553.90
309.50	11553.54
310.00	11553.23
310.50	11553.89
311.00	11552.57
311.50	11554.46
312.00	11553.40
312.50	11554.26
313.00	11553.39
313.50	11553.45
314.00	11552.97
314.50	11554.03
315.00	11553.88
315.50	11553.36
316.00	11554.14
316.50	11552.88
317.00	11553.06
317.50	11554.58
318.00	11552.69
318.50	11553.34
319.00	11554.96
319.50	11554.53
320.00	11555.46
320.50	11552.92
321.00	11552.91
321.50	11554.21
322.00	11552.95
322.50	11553.51
323.00	11552.99
323.50	11553.59
324.00	11552.76
324.50	11554.27
325.00	11554.91
325.50	13105.66
326.00	15165.44
326.50	15166.16
327.00	15167.23
327.50	15165.90
328.00	15166.98
328.50	15166.64
329.00	15166.52
329.50	15164.88
330.00	15164.72
330.50	15166.02
331.00	15166.26
331.50	15163.36
332.00	15165.89
332.50	15165.00
333.00	15165.52
333.50	15166.28
334.00	15163.44
334.50	15165.15
335.00	15164.91
335.50	15166.62
336.00	15166.03
336.50	15164.84
337.00	15159.83
337.50	15167.03
338.00	15166.27
338.50	15166.25
339.00	15166.62
339.50	15166.96
340.00	15167.67
340.50	15167.97
341.00	15165.85
341.50	15165.13
342.00	15164.93
342.50	15165.63
343.00	15166.80
343.50	15167.30
344.00	15166.55
344.50	15166.30
345.00	15166.02
345.50	15167.62
346.00	15166.19
346.50	15165.82
347.00	15166.16
347.50	15165.67
348.00	15166.20
348.50	15164.67
349.00	15163.61
349.50	15164.73
350.00	15165.21
350.50	15166.10
351.00	15164.89
351.50	15164.67
352.00	15161.52
352.50	15167.38
353.00	15164.87
353.50	15166.93
354.00	15165.00
354.50	15165.39
355.00	15165.85
355.50	15166.47
356.00	15166.48
356.50	15165.35
357.00	15164.90
357.50	15165.54
358.00	15166.22
358.50	15165.46
359.00	15165.18
359.50	15161.42
360.00	15165.44
360.50	15165.83
361.00	15167.55
361.50	15166.24
362.00	15165.57
362.50	15166.01
363.00	15164.58
363.50	15165.77
364.00	15167.17
364.50	15164.70
365.00	15165.90
365.50	15166.10
366.00	15164.38
366.50	15165.62
367.00	15161.62
367.50	15166.31
368.00	15166.81
368.50	15166.51
369.00	15165.97
369.50	15166.48
370.00	15166.42
370.50	15165.05
371.00	15164.24
371.50	15164.91
372.00	15166.42
372.50	15166.35
373.00	15166.77
373.50	15166.63
374.00	15165.13
374.50	15166.01
375.00	15164.22
375.50	15164.56
376.00	15164.67
376.50	15165.89
377.00	15166.02
377.50	15165.55
378.00	15163.61
378.50	15165.81
379.00	15166.41
379.50	15165.03
380.00	15165.42
380.50	15166.96
381.00	15165.45
381.50	15165.96
382.00	15164.43
382.50	15165.11
383.00	15165.12
383.50	15165.91
384.00	15166.46
384.50	15165.93
385.00	15165.60
385.50	16883.33
386.00	17454.06
386.50	0.00
387.00	0.00
387.50	0.00
388.00	0.00
388.50	0.00
389.00	0.00
389.50	0.00
390.00	0.00
390.50	0.00
391.00	0.00
391.50	0.00
392.00	0.00
392.50	0.00
393.00	0.00
393.50	0.00
394.00	0.00
