Elapsed_seconds	Rx-Mbps_[with_hdr]
240.50	11964.62
241.00	11967.83
241.50	11966.79
242.00	11961.73
242.50	11966.29
243.00	11967.76
243.50	11966.59
244.00	11964.25
244.50	11964.83
245.00	13158.95
245.50	14362.92
246.00	14366.23
246.50	14363.51
247.00	14362.47
247.50	14360.62
248.00	14370.52
248.50	14370.31
249.00	14372.55
249.50	14366.21
250.00	14362.99
250.50	14365.97
251.00	14359.13
251.50	14366.41
252.00	14370.79
252.50	14366.34
253.00	14366.75
253.50	14369.66
254.00	14366.26
254.50	14364.64
255.00	14361.24
255.50	14364.75
256.00	14359.20
256.50	14373.15
257.00	14367.21
257.50	14361.23
258.00	14367.78
258.50	14362.29
259.00	14366.15
259.50	14364.58
260.00	14359.66
260.50	14364.83
261.00	14364.24
261.50	14359.12
262.00	14358.23
262.50	14362.46
263.00	14361.88
263.50	14372.70
264.00	14367.81
264.50	14356.81
265.00	14350.51
265.50	14359.17
266.00	14351.75
266.50	14354.11
267.00	14351.53
267.50	14360.66
268.00	14357.47
268.50	14368.01
269.00	14357.57
269.50	14360.95
270.00	14361.95
270.50	14373.82
271.00	14368.28
271.50	14363.48
272.00	14365.33
272.50	14374.13
273.00	14366.99
273.50	14366.86
274.00	14368.35
274.50	14372.98
275.00	14362.81
275.50	14363.44
276.00	14364.19
276.50	14366.04
277.00	14366.54
277.50	14370.36
278.00	14353.75
278.50	14367.96
279.00	14370.24
279.50	14370.16
280.00	14360.34
280.50	14364.82
281.00	14367.84
281.50	14349.26
282.00	14366.63
282.50	14357.93
283.00	14364.48
283.50	14364.15
284.00	14360.03
284.50	14360.64
285.00	14362.35
285.50	14368.00
286.00	14360.92
286.50	14361.82
287.00	14369.14
287.50	14371.87
288.00	14372.53
288.50	14359.28
289.00	14361.75
289.50	14353.83
290.00	14358.34
290.50	14358.06
291.00	14353.88
291.50	14347.35
292.00	14347.98
292.50	14369.62
293.00	14367.39
293.50	14360.64
294.00	14366.28
294.50	14363.19
295.00	14359.39
295.50	14359.91
296.00	14365.62
296.50	14361.92
297.00	14355.98
297.50	14374.04
298.00	14361.11
298.50	14369.34
299.00	14362.34
299.50	14358.33
300.00	14366.84
300.50	14369.56
301.00	14362.61
301.50	14363.84
302.00	14363.28
302.50	14364.02
303.00	14370.63
303.50	14373.01
304.00	14367.81
304.50	14367.84
305.00	15639.63
305.50	16818.00
306.00	16817.02
306.50	16813.03
307.00	16820.95
307.50	16819.70
308.00	16814.30
308.50	16817.65
309.00	16814.42
309.50	16808.64
310.00	16816.85
310.50	16824.43
311.00	16804.96
311.50	16821.37
312.00	16808.81
312.50	16806.93
313.00	16813.53
313.50	16810.92
314.00	16808.58
314.50	16804.95
315.00	16811.79
315.50	16820.79
316.00	16812.03
316.50	16819.74
317.00	16819.60
317.50	16818.87
318.00	16809.75
318.50	16810.85
319.00	16811.60
319.50	16809.19
320.00	16821.97
320.50	16811.87
321.00	16809.58
321.50	16799.21
322.00	16807.21
322.50	16816.08
323.00	16817.98
323.50	16806.27
324.00	16804.16
324.50	16816.88
325.00	16806.17
325.50	16811.48
326.00	16809.85
326.50	16812.21
327.00	16813.30
327.50	16819.60
328.00	16812.91
328.50	16819.26
329.00	16821.27
329.50	16811.34
330.00	16815.62
330.50	16817.88
331.00	16814.24
331.50	16817.03
332.00	16812.38
332.50	16817.28
333.00	16804.53
333.50	16807.55
334.00	16813.26
334.50	16812.17
335.00	16817.25
335.50	16811.91
336.00	16817.82
336.50	16816.14
337.00	16818.07
337.50	16817.64
338.00	16814.69
338.50	16809.89
339.00	16814.67
339.50	16814.14
340.00	16813.82
340.50	16815.13
341.00	16820.98
341.50	16818.02
342.00	16811.24
342.50	16814.95
343.00	16813.81
343.50	16818.84
344.00	16819.09
344.50	16810.79
345.00	16814.91
345.50	16804.97
346.00	16808.50
346.50	16806.27
347.00	16819.01
347.50	16809.65
348.00	16814.58
348.50	16808.38
349.00	16816.72
349.50	16809.89
350.00	16813.44
350.50	16818.30
351.00	16811.08
351.50	16807.21
352.00	16807.45
352.50	16813.51
353.00	16815.91
353.50	16809.46
354.00	16813.60
354.50	16800.20
355.00	16814.66
355.50	16814.70
356.00	16811.17
356.50	16813.94
357.00	16814.47
357.50	16812.30
358.00	16813.07
358.50	16806.38
359.00	16812.96
359.50	16824.36
360.00	16812.67
360.50	16813.19
361.00	16808.91
361.50	16811.28
362.00	16807.14
362.50	16819.34
363.00	16811.49
363.50	16807.73
364.00	16811.63
364.50	16812.27
365.00	17703.02
365.50	14625.63
366.00	0.13
366.50	0.00
367.00	0.00
367.50	0.00
368.00	0.00
368.50	0.00
369.00	0.00
369.50	0.00
370.00	0.00
370.50	0.00
371.00	0.00
371.50	0.00
372.00	0.00
372.50	0.00
373.00	0.00
373.50	0.00
374.00	0.00
374.50	0.00
375.00	0.00
375.50	0.00
376.00	0.00
376.50	0.00
377.00	0.00
377.50	0.00
378.00	0.00
378.50	0.00
379.00	0.00
379.50	0.00
380.00	0.00
