Elapsed_seconds	Tx-Mbps_[with_hdr]
374.50	29250.08
375.00	29245.18
375.50	29252.56
376.00	29251.03
376.50	29248.37
377.00	29254.55
377.50	29253.12
378.00	29253.34
378.50	29256.30
379.00	29256.85
379.50	29253.33
380.00	29250.84
380.50	29253.60
381.00	29255.39
381.50	29253.03
382.00	29250.26
382.50	29256.96
383.00	29236.21
383.50	29254.16
384.00	29256.81
384.50	29234.82
385.00	29245.83
385.50	29249.97
386.00	29250.53
386.50	29252.32
387.00	29249.66
387.50	29251.19
388.00	29245.93
388.50	29251.76
389.00	29250.52
389.50	29253.14
390.00	29248.49
390.50	29249.88
391.00	29251.41
391.50	29244.40
392.00	29249.11
392.50	29677.05
393.00	34140.04
393.50	8863.52
394.00	0.00
394.50	0.00
395.00	0.00
395.50	0.00
396.00	0.00
396.50	0.00
397.00	0.00
397.50	0.00
398.00	0.00
398.50	0.00
399.00	0.00
399.50	0.00
400.00	0.00
400.50	0.00
401.00	0.00
401.50	0.00
402.00	0.00
402.50	0.00
