Elapsed_seconds	Rx-Mbps_[with_hdr]
248.00	6173.06
248.50	6173.57
249.00	6173.42
249.50	6173.18
250.00	6172.86
250.50	6173.08
251.00	6172.93
251.50	6172.98
252.00	6171.69
252.50	6173.39
253.00	6173.42
253.50	6173.49
254.00	6172.75
254.50	6173.28
255.00	6172.98
255.50	6173.56
256.00	6173.21
256.50	6173.45
257.00	6173.15
257.50	6173.12
258.00	6172.98
258.50	6172.92
259.00	6173.55
259.50	6173.42
260.00	6173.26
260.50	6173.18
261.00	6173.09
261.50	6173.00
262.00	6172.99
262.50	6173.03
263.00	6173.42
263.50	6173.58
264.00	6172.83
264.50	6171.66
265.00	6173.65
265.50	6173.49
266.00	6172.59
266.50	6171.98
267.00	6173.07
267.50	6173.05
268.00	6173.08
268.50	6172.90
269.00	6173.22
269.50	6173.59
270.00	6173.50
270.50	6172.81
271.00	6172.97
271.50	6173.52
272.00	6173.40
272.50	6171.56
273.00	6172.85
273.50	6173.01
274.00	6172.86
274.50	6172.96
275.00	6171.85
275.50	6172.77
276.00	6172.78
276.50	6172.40
277.00	6172.73
277.50	6173.28
278.00	6172.71
278.50	6172.68
279.00	6173.30
279.50	6173.03
280.00	6172.79
280.50	6172.85
281.00	6172.86
281.50	6172.64
282.00	6171.51
282.50	6172.58
283.00	6172.96
283.50	6172.63
284.00	6172.32
284.50	6172.94
285.00	6172.41
285.50	6172.31
286.00	6172.85
286.50	6173.27
287.00	6172.84
287.50	6172.91
288.00	6172.67
288.50	6172.80
289.00	6173.02
289.50	6172.12
290.00	6173.22
290.50	6172.99
291.00	6172.04
291.50	6173.04
292.00	6172.57
292.50	6172.98
293.00	6172.92
293.50	6172.25
294.00	6172.65
294.50	6172.54
295.00	6173.11
295.50	6173.10
296.00	6173.23
296.50	6173.02
297.00	6172.98
297.50	6173.02
298.00	6172.48
298.50	6172.67
299.00	6172.98
299.50	6173.32
300.00	6172.70
300.50	6172.32
301.00	6170.20
301.50	6163.49
302.00	6163.14
