Elapsed_seconds	Rx-Mbps_[with_hdr]
248.00	12114.93
248.50	12107.47
249.00	12114.55
249.50	12109.78
250.00	12112.83
250.50	12112.32
251.00	12112.43
251.50	12113.66
252.00	12112.02
252.50	12110.82
253.00	12111.74
253.50	15452.19
254.00	16785.83
254.50	16789.29
255.00	16789.05
255.50	16788.91
256.00	16790.58
256.50	16789.46
257.00	16790.26
257.50	16791.50
258.00	16790.20
258.50	16790.08
259.00	16788.15
259.50	16791.95
260.00	16787.51
260.50	16786.44
261.00	16790.39
261.50	16792.74
262.00	16793.08
262.50	16792.45
263.00	16791.26
263.50	16790.90
264.00	16790.71
264.50	16786.02
265.00	16792.38
265.50	16789.32
266.00	16787.55
266.50	16786.47
267.00	16789.45
267.50	16787.99
268.00	16787.39
268.50	16787.00
269.00	16790.03
269.50	16787.52
270.00	16787.51
270.50	16789.13
271.00	16788.84
271.50	16783.98
272.00	16787.51
272.50	16790.08
273.00	16788.45
273.50	16788.00
274.00	16789.55
274.50	16788.57
275.00	16787.48
275.50	16783.27
276.00	16788.55
276.50	16788.40
277.00	16792.59
277.50	16788.23
278.00	16789.44
278.50	16790.24
279.00	16785.67
279.50	16790.45
280.00	16787.73
280.50	16785.70
281.00	16786.64
281.50	16785.72
282.00	16786.43
282.50	16784.55
283.00	16783.48
283.50	16786.30
284.00	16785.08
284.50	16788.20
285.00	16786.84
285.50	16783.79
286.00	16788.28
286.50	16788.31
287.00	16788.01
287.50	16787.87
288.00	16787.58
288.50	16787.78
289.00	16785.88
289.50	16790.78
290.00	16784.94
290.50	16785.10
291.00	16787.10
291.50	16783.86
292.00	16782.52
292.50	16783.96
293.00	16789.19
293.50	16783.92
294.00	16785.80
294.50	16787.60
295.00	16787.32
295.50	16782.20
296.00	16784.00
296.50	16780.86
297.00	16785.44
297.50	16779.87
298.00	16790.57
298.50	16783.86
299.00	16787.72
299.50	16788.89
300.00	16787.71
300.50	16789.23
301.00	16786.98
301.50	16788.09
302.00	16785.05
302.50	16787.95
303.00	16785.39
303.50	16769.58
304.00	16788.98
304.50	16783.17
305.00	16786.55
305.50	16781.30
306.00	16784.68
306.50	16783.42
307.00	16787.01
307.50	16783.17
308.00	16782.68
308.50	16785.04
309.00	16784.85
309.50	16782.04
310.00	16788.67
310.50	16786.46
311.00	16789.07
311.50	16788.27
312.00	16789.85
